,contentsid,title,roadaddress,tag,introduction,latitude,longitude,contentscd.label,phoneno,repPhoto.photoid.imgpath,repPhoto.photoid.thumbnailpath,인기점수,tag_len,popular_tag,len
3378,CNTS_000000000018464,제주조천스위스마을게스트하우스,제주특별자치도 제주시 조천읍 함와로 566-27,"['숙박', '숙소', '게스트하우스', '마을관광', '올레길', '식당']",조천읍 와산리에 위치한 농촌 관광 공동체 마을,33.48262,126.68348,숙박,064-744-6060,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/34aa8484-7d74-4e0b-8562-983723df780b.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/e28e9db1-18b1-4061-aca7-0c7060b1b090.gif,97453.0,24,"게스트하우스,숙소",9
3801,CONT_000000000501122,해비치호텔앤드리조트,제주특별자치도 서귀포시 표선면 민속해안로 537,"['휴식/치유', '5성급호텔', '호텔', '숙소', '리조트', '가족호텔', '공공와이파이존', '양식레스토랑', '수영장', '주차장', '어린이', '관광호텔']",제주의 푸른 바다와 자연을 만끽할 수 있는 표선에 위치한 호텔&리조트,33.32345,126.84478,숙박,064-780-8100,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/c32e134c-6a2d-48bf-bdd3-f22f5b55042a.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/12d51464-e140-4dfe-bd71-20e3da85242f.jpg,69809.0,58,"호텔,숙소,양식레스토랑,가족호텔,주차장,수영장,리조트,공공와이파이존,관광호텔",42
3976,CONT_000000000500811,나미송 머무는 곳,제주특별자치도 제주시 애월읍 평화로 2476,"['민박', '고향민박', '독채', '정원', '주방기구', '자연경관']",자연과 사람의 서정이 함께 흐르는 아름다운 민박집,33.4108019,126.433164,숙박,010-8307-0531,https://api.cdn.visitjeju.net/photomng/imgpath/202001/21/c1b0e615-0236-466b-bfc3-62c3279eb972.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202001/21/565e5bb9-1188-479c-b786-555532779d88.jpg,64177.0,23,"민박,고향민박,정원,주방기구,자연경관,독채",23
4240,CNTS_000000000018141,신라호텔제주,제주도 서귀포시 중문관광로 72번길 75,"['최고급', 'VIP', '중문', '신라', '중문관광단지', '5성급호텔', '숙소', '게스트하우스', '호텔', '공공와이파이존', '양식레스토랑', '수영장', '주차장', '발렛파킹', '관광호텔']","파스텔 톤의 인테리어, 세계 유명 작가들의 예술작품과 아열대 정원이 어우러진 리조트 호텔",33.24756,126.40812,숙박,064-735-5114,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/cef0caa7-9732-46d7-a094-664a50e3fed8.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/a241f8c2-96be-4e68-a5e3-94013927be92.jpg,47206.0,72,"호텔,게스트하우스,숙소,양식레스토랑,주차장,수영장,공공와이파이존,관광호텔",40
3162,CONT_000000000500859,롯데호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 35,"['호텔', '5성급', '중문', '리조트', '숙소', '가족호텔', '수영장', '양식레스토랑', '자연경관', '공공와이파이존', '조식', '비즈니스센터', '주차장', '관광호텔']",사계절 온수풀과 이국적인 풍경이 매혹적인 리조트형 호텔,33.2484577,126.4105487,숙박,064-731-1000,https://api.cdn.visitjeju.net/photomng/imgpath/202007/03/d6c830f7-fd52-40cd-aa62-e270e7161bbd.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202007/03/ee3aa562-5025-4ddd-87fd-60fb2959f16b.jpg,47113.0,64,"호텔,숙소,조식,양식레스토랑,가족호텔,주차장,자연경관,수영장,리조트,공공와이파이존,관광호텔",50
3169,CNTS_000000000000592,대명리조트 제주,제주특별자치도 제주시 조천읍 신북로 577,"['리조트', '숙소', '휴양콘도', '주차장', '대명리조트', '부대시설', '조식']",함덕해수욕장 앞 자연과 하나되는 쉼터,33.541286,126.671486,숙박,-1588-4888,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/6876e4b4-9af3-4d7b-83ed-3aff9e2eb390.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/98d3f295-506f-44e8-8998-5205a279b797.jpg,46874.0,29,"휴양콘도,숙소,조식,주차장,리조트",18
4022,CONT_000000000501144,휘닉스 제주 섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,"['리조트', '성산', '4성급호텔', '수영장', '휴양콘도', '주차장', '공공와이파이존', '어린이놀이방', '교통', '양식레스토랑', '조식 포함', '주방기구', '가족']",섭지코지 주변에 위치한 자연친화적인 해양종합리조트,33.430576,126.92777,숙박,064-731-7000,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/fbddc54a-2f2b-4b1e-bb01-424ce3ef3658.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/8a507578-247d-456c-a816-d720da13a5a0.jpg,44973.0,64,"휴양콘도,양식레스토랑,가족,주차장,조식 포함,주방기구,수영장,교통,리조트,공공와이파이존",48
3615,CNTS_000000000018236,캠핑트리펜션,제주특별자치도 제주시 애월읍 광상로 115,"['펜션', '숙소', '휴양펜션', '캠핑', '언택트', '글램핑', '캠핑장', '야영장', '독채', '민박', '수영장', '노래방', '바비큐']",애월읍에 위치한 자연이 숨쉬는 통나무 펜션,33.4108019,126.433164,숙박,064-799-7998,https://api.cdn.visitjeju.net/photomng/imgpath/202104/22/8cb47436-067c-4be0-bd7f-d8aecd9b8b27.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202104/22/1727d58d-3165-4268-9451-b41690d5242e.jpg,43550.0,47,"민박,숙소,펜션,휴양펜션,바비큐,수영장,독채",24
3606,CNTS_200000000007373,제주가좋아서 펜션,제주특별자치도 제주시 구좌읍 비자림로 1569,"['안전인증숙소', '숙소', '휴양펜션', '펜션', '바비큐', '공공와이파이존', '수영장', '안전인증민박']","비자림로 인근에 위치해, 편안하고 조용하게 쉬고 갈 수 있는 펜션",33.4509119,126.7677935,숙박,064-782-0122,https://api.cdn.visitjeju.net/photomng/imgpath/201808/17/c01d185c-b2bf-4191-9826-d12bbabec3f3.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201808/17/0cd2d949-dbdc-4806-8d93-d9165de902b3.jpg,36476.0,40,"숙소,안전인증민박,펜션,휴양펜션,바비큐,수영장,공공와이파이존",33
3412,CNTS_000000000018215,금호리조트제주,제주특별자치도 서귀포시 남원읍 태위로 522-12,"['리조트', '숙소', '휴양콘도', '주차장', '자연경관', '온돌방']",바다와 한라산 전망을 동시에 누리는 Seaside Resort,33.272964,126.70148,숙박,064-766-8000,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/8b4aca02-e27f-4d5b-a7cc-da6675abb215.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/058c0664-698f-45a8-9f06-d984c84934b9.jpg,33405.0,24,"온돌방,휴양콘도,숙소,주차장,자연경관,리조트",24
